problem_id,description,category
JH-PRB-001,"Industrial effluent and tailing runoff polluting river water used for drinking and farming.","Environment"
JH-PRB-002,"Groundwater exceeds permissible fluoride levels leading to widespread dental and skeletal fluorosis.","Water"
JH-PRB-003,"Post-harvest crop spoilage forces distress sales at extremely low rates during peak harvest.","Agriculture"
JH-PRB-004,"Heavy unpaved coal haulage causes respiratory illnesses and ambient PM10 spikes in roadside settlements.","Health"
JH-PRB-005,"Wild elephant herds enter paddy fields damaging standing crops and posing risks to villagers.","Forestry & Wildlife"
JH-PRB-006,"Lack of local processing for Mahua and Lac forces tribal gatherers into exploitative seasonal migration.","Livelihood"
JH-PRB-007,"High prevalence of iron deficiency anemia in tribal blocks due to dietary and water absorption barriers.","Healthcare"
JH-PRB-008,"Poor storm-water management leads to regular waterlogging and sewer backflow during monsoon downpours.","Urban Infrastructure"
JH-PRB-009,"Mining pits depress the regional water table drying up nearby dug wells and domestic handpumps.","Water"
JH-PRB-010,"Unstable mine waste dumps risk slope failure and landslides during heavy rain near settlements.","Disaster Management"
JH-PRB-011,"Rural students particularly girls drop out due to distance terrain and absence of public transit.","Education"
JH-PRB-012,"Workers operate without dust suppression leading to chronic respiratory failure and undiagnosed silicosis.","Occupational Health"
JH-PRB-013,"Farmers lack supplementary micro-irrigation when rains pause leading to recurring crop failures.","Agriculture"
JH-PRB-014,"Underground smoldering fires destabilize residential ground and release toxic benzene and sulfur fumes.","Public Safety"
JH-PRB-015,"Deep forest blocks lack fiber or 4G backhaul stalling public ration distribution and online welfare delivery.","Digital Infrastructure"
JH-PRB-016,"Rural households burning unprocessed wood in poorly ventilated rooms suffer from chronic respiratory illness.","Health"
JH-PRB-017,"Remote livestock farmers suffer low conception rates due to unmaintained liquid nitrogen supply chains.","Animal Husbandry"
JH-PRB-018,"Unmetered hooks and decaying rural distribution lines cause brownouts and extreme fiscal losses for discoms.","Energy"
JH-PRB-019,"Ground-level tube wells tap into arsenic-rich strata causing skin lesions and long-term toxicity.","Water"
JH-PRB-020,"Rural primary health centers lose serum potency during grid outages worsening snakebite mortality.","Healthcare"
JH-PRB-021,"Tribal youth lack foundational curriculum and reading materials printed in native scripts like Ol Chiki.","Culture & Education"
JH-PRB-022,"Thermal power station ash dykes breach into local soil degrading farm fertility with heavy ash deposits.","Environment"
JH-PRB-023,"Fresh fish caught from large reservoirs spoil during transit before reaching major urban markets.","Fisheries & Commerce"
JH-PRB-024,"Pipe culverts on rural link roads choke with debris and wash away cutting off village access.","Rural Infrastructure"
JH-PRB-025,"Remote tribal homes lack basic warming facilities for low-birthweight newborns prior to clinic transfer.","Child Healthcare"
JH-PRB-026,"Sericulture farmers rely on local middlemen who pay arbitrary prices for unprocessed cocoons.","Livelihood"
JH-PRB-027,"Community water bodies silt up heavily reducing storage depth and drying out well before summer.","Water Conservation"
JH-PRB-028,"Dry leaf-litter fires go undetected for days in inaccessible hill tracts wiping out undergrowth and wildlife.","Disaster Management"
JH-PRB-029,"Unsegregated open dump yards catch fire regularly billowing dioxins and smoke into nearby towns.","Waste Management"
JH-PRB-030,"Lateritic upland soils bind phosphorus and micronutrients severely depressing upland pulse crop yields.","Agriculture"
